district_name,Date,csi_median_score,risk_tier
panna,2030-01-07,1.0,5
raisen,2030-01-07,1.0,5
rajgarh,2030-01-07,1.0,5
ratlam,2030-01-07,1.0,5
rewa,2030-01-07,1.0,5
sagar,2030-01-07,1.0,5
satna,2030-01-07,1.0,5
sehore,2030-01-07,1.0,5
seoni,2030-01-07,1.0,5
shahdol,2030-01-07,1.0,5
shajapur,2030-01-07,1.0,5
sheopur,2030-01-07,1.0,5
shivpuri,2030-01-07,1.0,5
sidhi,2030-01-07,1.0,5
singrauli,2030-01-07,1.0,5
tikamgarh,2030-01-07,1.0,5
ujjain,2030-01-07,1.0,5
umaria,2030-01-07,1.0,5
vidisha,2030-01-07,1.0,5
westnimar,2030-01-07,1.0,5
agarmalwa,2030-01-08,1.0,5
alirajpur,2030-01-08,1.0,5
anuppur,2030-01-08,1.0,5
ashoknagar,2030-01-08,1.0,5
balaghat,2030-01-08,1.0,5
barwani,2030-01-08,1.0,5
betul,2030-01-08,1.0,5
bhind,2030-01-08,1.0,5
bhopal,2030-01-08,1.0,5
burhanpur,2030-01-08,1.0,5
chhatarpur,2030-01-08,1.0,5
chhindwara,2030-01-08,1.0,5
damoh,2030-01-08,1.0,5
datia,2030-01-08,1.0,5
dewas,2030-01-08,1.0,5
dhar,2030-01-08,1.0,5
dindori,2030-01-08,1.0,5
eastnimar,2030-01-08,1.0,5
guna,2030-01-08,1.0,5
gwalior,2030-01-08,1.0,5
harda,2030-01-08,1.0,5
hoshangabad,2030-01-08,1.0,5
indore,2030-01-08,1.0,5
jabalpur,2030-01-08,1.0,5
jhabua,2030-01-08,1.0,5
katni,2030-01-08,1.0,5
mandla,2030-01-08,1.0,5
mandsaur,2030-01-08,1.0,5
morena,2030-01-08,1.0,5
narsimhapur,2030-01-08,1.0,5
neemuch,2030-01-08,1.0,5
panna,2030-01-08,1.0,5
raisen,2030-01-08,1.0,5
rajgarh,2030-01-08,1.0,5
ratlam,2030-01-08,1.0,5
rewa,2030-01-08,1.0,5
sagar,2030-01-08,1.0,5
satna,2030-01-08,1.0,5
sehore,2030-01-08,1.0,5
seoni,2030-01-08,1.0,5
shahdol,2030-01-08,1.0,5
shajapur,2030-01-08,1.0,5
sheopur,2030-01-08,1.0,5
shivpuri,2030-01-08,1.0,5
sidhi,2030-01-08,1.0,5
singrauli,2030-01-08,1.0,5
tikamgarh,2030-01-08,1.0,5
ujjain,2030-01-08,1.0,5
umaria,2030-01-08,1.0,5
vidisha,2030-01-08,1.0,5
westnimar,2030-01-08,1.0,5
agarmalwa,2030-01-09,1.0,5
alirajpur,2030-01-09,1.0,5
anuppur,2030-01-09,1.0,5
ashoknagar,2030-01-09,1.0,5
balaghat,2030-01-09,1.0,5
barwani,2030-01-09,1.0,5
betul,2030-01-09,1.0,5
bhind,2030-01-09,1.0,5
bhopal,2030-01-09,1.0,5
burhanpur,2030-01-09,1.0,5
chhatarpur,2030-01-09,1.0,5
chhindwara,2030-01-09,1.0,5
damoh,2030-01-09,1.0,5
datia,2030-01-09,1.0,5
dewas,2030-01-09,1.0,5
dhar,2030-01-09,1.0,5
dindori,2030-01-09,1.0,5
eastnimar,2030-01-09,1.0,5
guna,2030-01-09,1.0,5
gwalior,2030-01-09,1.0,5
harda,2030-01-09,1.0,5
hoshangabad,2030-01-09,1.0,5
indore,2030-01-09,1.0,5
jabalpur,2030-01-09,1.0,5
jhabua,2030-01-09,1.0,5
katni,2030-01-09,1.0,5
mandla,2030-01-09,1.0,5
mandsaur,2030-01-09,1.0,5
morena,2030-01-09,1.0,5
narsimhapur,2030-01-09,1.0,5
neemuch,2030-01-09,1.0,5
panna,2030-01-09,1.0,5
raisen,2030-01-09,1.0,5
rajgarh,2030-01-09,1.0,5
ratlam,2030-01-09,1.0,5
rewa,2030-01-09,1.0,5
sagar,2030-01-09,1.0,5
satna,2030-01-09,1.0,5
sehore,2030-01-09,1.0,5
seoni,2030-01-09,1.0,5
shahdol,2030-01-09,1.0,5
shajapur,2030-01-09,1.0,5
sheopur,2030-01-09,1.0,5
shivpuri,2030-01-09,1.0,5
sidhi,2030-01-09,1.0,5
singrauli,2030-01-09,1.0,5
tikamgarh,2030-01-09,1.0,5
ujjain,2030-01-09,1.0,5
umaria,2030-01-09,1.0,5
vidisha,2030-01-09,1.0,5
westnimar,2030-01-09,1.0,5
agarmalwa,2030-01-10,1.0,5
alirajpur,2030-01-10,1.0,5
anuppur,2030-01-10,1.0,5
ashoknagar,2030-01-10,1.0,5
balaghat,2030-01-10,1.0,5
barwani,2030-01-10,1.0,5
betul,2030-01-10,1.0,5
bhind,2030-01-10,1.0,5
bhopal,2030-01-10,1.0,5
burhanpur,2030-01-10,1.0,5
chhatarpur,2030-01-10,1.0,5
chhindwara,2030-01-10,1.0,5
damoh,2030-01-10,1.0,5
datia,2030-01-10,1.0,5
dewas,2030-01-10,1.0,5
dhar,2030-01-10,1.0,5
dindori,2030-01-10,1.0,5
eastnimar,2030-01-10,1.0,5
guna,2030-01-10,1.0,5
gwalior,2030-01-10,1.0,5
harda,2030-01-10,1.0,5
hoshangabad,2030-01-10,1.0,5
indore,2030-01-10,1.0,5
jabalpur,2030-01-10,1.0,5
jhabua,2030-01-10,1.0,5
katni,2030-01-10,1.0,5
mandla,2030-01-10,1.0,5
mandsaur,2030-01-10,1.0,5
morena,2030-01-10,1.0,5
narsimhapur,2030-01-10,1.0,5
neemuch,2030-01-10,1.0,5
panna,2030-01-10,1.0,5
raisen,2030-01-10,1.0,5
rajgarh,2030-01-10,1.0,5
ratlam,2030-01-10,1.0,5
rewa,2030-01-10,1.0,5
sagar,2030-01-10,1.0,5
satna,2030-01-10,1.0,5
sehore,2030-01-10,1.0,5
seoni,2030-01-10,1.0,5
shahdol,2030-01-10,1.0,5
shajapur,2030-01-10,1.0,5
sheopur,2030-01-10,1.0,5
shivpuri,2030-01-10,1.0,5
sidhi,2030-01-10,1.0,5
singrauli,2030-01-10,1.0,5
tikamgarh,2030-01-10,1.0,5
ujjain,2030-01-10,1.0,5
umaria,2030-01-10,1.0,5
vidisha,2030-01-10,1.0,5
westnimar,2030-01-10,1.0,5
agarmalwa,2030-01-11,1.0,5
alirajpur,2030-01-11,1.0,5
anuppur,2030-01-11,1.0,5
ashoknagar,2030-01-11,1.0,5
balaghat,2030-01-11,1.0,5
barwani,2030-01-11,1.0,5
betul,2030-01-11,1.0,5
bhind,2030-01-11,1.0,5
bhopal,2030-01-11,1.0,5
burhanpur,2030-01-11,1.0,5
chhatarpur,2030-01-11,1.0,5
chhindwara,2030-01-11,1.0,5
damoh,2030-01-11,1.0,5
datia,2030-01-11,1.0,5
dewas,2030-01-11,1.0,5
dhar,2030-01-11,1.0,5
dindori,2030-01-11,1.0,5
eastnimar,2030-01-11,1.0,5
guna,2030-01-11,1.0,5
gwalior,2030-01-11,1.0,5
harda,2030-01-11,1.0,5
hoshangabad,2030-01-11,1.0,5
indore,2030-01-11,1.0,5
jabalpur,2030-01-11,1.0,5
jhabua,2030-01-11,1.0,5
katni,2030-01-11,1.0,5
mandla,2030-01-11,1.0,5
mandsaur,2030-01-11,1.0,5
morena,2030-01-11,1.0,5
narsimhapur,2030-01-11,1.0,5
neemuch,2030-01-11,1.0,5
panna,2030-01-11,1.0,5
raisen,2030-01-11,1.0,5
rajgarh,2030-01-11,1.0,5
ratlam,2030-01-11,1.0,5
rewa,2030-01-11,1.0,5
sagar,2030-01-11,1.0,5
satna,2030-01-11,1.0,5
sehore,2030-01-11,1.0,5
seoni,2030-01-11,1.0,5
shahdol,2030-01-11,1.0,5
shajapur,2030-01-11,1.0,5
sheopur,2030-01-11,1.0,5
shivpuri,2030-01-11,1.0,5
sidhi,2030-01-11,1.0,5
singrauli,2030-01-11,1.0,5
tikamgarh,2030-01-11,1.0,5
ujjain,2030-01-11,1.0,5
umaria,2030-01-11,1.0,5
vidisha,2030-01-11,1.0,5
westnimar,2030-01-11,1.0,5
agarmalwa,2030-01-12,1.0,5
alirajpur,2030-01-12,1.0,5
anuppur,2030-01-12,1.0,5
ashoknagar,2030-01-12,1.0,5
balaghat,2030-01-12,1.0,5
barwani,2030-01-12,1.0,5
betul,2030-01-12,1.0,5
bhind,2030-01-12,1.0,5
bhopal,2030-01-12,1.0,5
burhanpur,2030-01-12,1.0,5
chhatarpur,2030-01-12,1.0,5
chhindwara,2030-01-12,1.0,5
damoh,2030-01-12,1.0,5
datia,2030-01-12,1.0,5
dewas,2030-01-12,1.0,5
dhar,2030-01-12,1.0,5
dindori,2030-01-12,1.0,5
eastnimar,2030-01-12,1.0,5
guna,2030-01-12,1.0,5
gwalior,2030-01-12,1.0,5
harda,2030-01-12,1.0,5
hoshangabad,2030-01-12,1.0,5
indore,2030-01-12,1.0,5
jabalpur,2030-01-12,1.0,5
jhabua,2030-01-12,1.0,5
katni,2030-01-12,1.0,5
mandla,2030-01-12,1.0,5
mandsaur,2030-01-12,1.0,5
morena,2030-01-12,1.0,5
narsimhapur,2030-01-12,1.0,5
neemuch,2030-01-12,1.0,5
panna,2030-01-12,1.0,5
raisen,2030-01-12,1.0,5
rajgarh,2030-01-12,1.0,5
ratlam,2030-01-12,1.0,5
rewa,2030-01-12,1.0,5
sagar,2030-01-12,1.0,5
satna,2030-01-12,1.0,5
sehore,2030-01-12,1.0,5
seoni,2030-01-12,1.0,5
shahdol,2030-01-12,1.0,5
shajapur,2030-01-12,1.0,5
sheopur,2030-01-12,1.0,5
shivpuri,2030-01-12,1.0,5
sidhi,2030-01-12,1.0,5
singrauli,2030-01-12,1.0,5
tikamgarh,2030-01-12,1.0,5
ujjain,2030-01-12,1.0,5
umaria,2030-01-12,1.0,5
vidisha,2030-01-12,1.0,5
westnimar,2030-01-12,1.0,5
agarmalwa,2030-01-13,1.0,5
alirajpur,2030-01-13,1.0,5
anuppur,2030-01-13,1.0,5
ashoknagar,2030-01-13,1.0,5
balaghat,2030-01-13,1.0,5
barwani,2030-01-13,1.0,5
betul,2030-01-13,1.0,5
bhind,2030-01-13,1.0,5
bhopal,2030-01-13,1.0,5
burhanpur,2030-01-13,1.0,5
chhatarpur,2030-01-13,1.0,5
chhindwara,2030-01-13,1.0,5
damoh,2030-01-13,1.0,5
datia,2030-01-13,1.0,5
dewas,2030-01-13,1.0,5
dhar,2030-01-13,1.0,5
dindori,2030-01-13,1.0,5
eastnimar,2030-01-13,1.0,5
guna,2030-01-13,1.0,5
gwalior,2030-01-13,1.0,5
harda,2030-01-13,1.0,5
hoshangabad,2030-01-13,1.0,5
indore,2030-01-13,1.0,5
jabalpur,2030-01-13,1.0,5
jhabua,2030-01-13,1.0,5
katni,2030-01-13,1.0,5
mandla,2030-01-13,1.0,5
mandsaur,2030-01-13,1.0,5
morena,2030-01-13,1.0,5
narsimhapur,2030-01-13,1.0,5
neemuch,2030-01-13,1.0,5
panna,2030-01-13,1.0,5
raisen,2030-01-13,1.0,5
rajgarh,2030-01-13,1.0,5
ratlam,2030-01-13,1.0,5
rewa,2030-01-13,1.0,5
sagar,2030-01-13,1.0,5
satna,2030-01-13,1.0,5
sehore,2030-01-13,1.0,5
seoni,2030-01-13,1.0,5
shahdol,2030-01-13,1.0,5
shajapur,2030-01-13,1.0,5
sheopur,2030-01-13,1.0,5
shivpuri,2030-01-13,1.0,5
sidhi,2030-01-13,1.0,5
singrauli,2030-01-13,1.0,5
tikamgarh,2030-01-13,1.0,5
ujjain,2030-01-13,1.0,5
umaria,2030-01-13,1.0,5
vidisha,2030-01-13,1.0,5
westnimar,2030-01-13,1.0,5
agarmalwa,2030-01-14,1.0,5
alirajpur,2030-01-14,1.0,5
anuppur,2030-01-14,1.0,5
ashoknagar,2030-01-14,1.0,5
balaghat,2030-01-14,1.0,5
barwani,2030-01-14,1.0,5
betul,2030-01-14,1.0,5
bhind,2030-01-14,1.0,5
bhopal,2030-01-14,1.0,5
burhanpur,2030-01-14,1.0,5
chhatarpur,2030-01-14,1.0,5
chhindwara,2030-01-14,1.0,5
damoh,2030-01-14,1.0,5
datia,2030-01-14,1.0,5
dewas,2030-01-14,1.0,5
dhar,2030-01-14,1.0,5
dindori,2030-01-14,1.0,5
eastnimar,2030-01-14,1.0,5
guna,2030-01-14,1.0,5
gwalior,2030-01-14,1.0,5
harda,2030-01-14,1.0,5
hoshangabad,2030-01-14,1.0,5
indore,2030-01-14,1.0,5
jabalpur,2030-01-14,1.0,5
jhabua,2030-01-14,1.0,5
katni,2030-01-14,1.0,5
mandla,2030-01-14,1.0,5
mandsaur,2030-01-14,1.0,5
morena,2030-01-14,1.0,5
narsimhapur,2030-01-14,1.0,5
neemuch,2030-01-14,1.0,5
panna,2030-01-14,1.0,5
raisen,2030-01-14,1.0,5
rajgarh,2030-01-14,1.0,5
ratlam,2030-01-14,1.0,5
rewa,2030-01-14,1.0,5
sagar,2030-01-14,1.0,5
satna,2030-01-14,1.0,5
sehore,2030-01-14,1.0,5
seoni,2030-01-14,1.0,5
shahdol,2030-01-14,1.0,5
shajapur,2030-01-14,1.0,5
sheopur,2030-01-14,1.0,5
shivpuri,2030-01-14,1.0,5
sidhi,2030-01-14,1.0,5
singrauli,2030-01-14,1.0,5
tikamgarh,2030-01-14,1.0,5
ujjain,2030-01-14,1.0,5
umaria,2030-01-14,1.0,5
vidisha,2030-01-14,1.0,5
westnimar,2030-01-14,1.0,5
agarmalwa,2030-01-15,1.0,5
alirajpur,2030-01-15,1.0,5
anuppur,2030-01-15,1.0,5
ashoknagar,2030-01-15,1.0,5
balaghat,2030-01-15,1.0,5
barwani,2030-01-15,1.0,5
betul,2030-01-15,1.0,5
bhind,2030-01-15,1.0,5
bhopal,2030-01-15,1.0,5
burhanpur,2030-01-15,1.0,5
chhatarpur,2030-01-15,1.0,5
chhindwara,2030-01-15,1.0,5
damoh,2030-01-15,1.0,5
datia,2030-01-15,1.0,5
dewas,2030-01-15,1.0,5
dhar,2030-01-15,1.0,5
dindori,2030-01-15,1.0,5
eastnimar,2030-01-15,1.0,5
guna,2030-01-15,1.0,5
gwalior,2030-01-15,1.0,5
harda,2030-01-15,1.0,5
hoshangabad,2030-01-15,1.0,5
indore,2030-01-15,1.0,5
jabalpur,2030-01-15,1.0,5
jhabua,2030-01-15,1.0,5
katni,2030-01-15,1.0,5
mandla,2030-01-15,1.0,5
mandsaur,2030-01-15,1.0,5
morena,2030-01-15,1.0,5
narsimhapur,2030-01-15,1.0,5
neemuch,2030-01-15,1.0,5
panna,2030-01-15,1.0,5
raisen,2030-01-15,1.0,5
rajgarh,2030-01-15,1.0,5
ratlam,2030-01-15,1.0,5
rewa,2030-01-15,1.0,5
sagar,2030-01-15,1.0,5
satna,2030-01-15,1.0,5
sehore,2030-01-15,1.0,5
seoni,2030-01-15,1.0,5
shahdol,2030-01-15,1.0,5
shajapur,2030-01-15,1.0,5
sheopur,2030-01-15,1.0,5
shivpuri,2030-01-15,1.0,5
sidhi,2030-01-15,1.0,5
singrauli,2030-01-15,1.0,5
tikamgarh,2030-01-15,1.0,5
ujjain,2030-01-15,1.0,5
umaria,2030-01-15,1.0,5
vidisha,2030-01-15,1.0,5
westnimar,2030-01-15,1.0,5
agarmalwa,2030-01-16,1.0,5
alirajpur,2030-01-16,1.0,5
anuppur,2030-01-16,1.0,5
ashoknagar,2030-01-16,1.0,5
balaghat,2030-01-16,1.0,5
barwani,2030-01-16,1.0,5
betul,2030-01-16,1.0,5
bhind,2030-01-16,1.0,5
bhopal,2030-01-16,1.0,5
burhanpur,2030-01-16,1.0,5
chhatarpur,2030-01-16,1.0,5
chhindwara,2030-01-16,1.0,5
damoh,2030-01-16,1.0,5
datia,2030-01-16,1.0,5
dewas,2030-01-16,1.0,5
dhar,2030-01-16,1.0,5
dindori,2030-01-16,1.0,5
eastnimar,2030-01-16,1.0,5
guna,2030-01-16,1.0,5
